category,line,selector,tokens,hits
"still-used","1","#toolbar","toolbar","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","11",".toolbar-left","toolbar-left","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","12",".toolbar-right","toolbar-right","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","13",".brand-mark","brand-mark","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","22",".logo","logo","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","24",".product-version","product-version","frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","32",".file-name","file-name","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/legacy-shell/legacy-shell.component.html; frontend-angular/src/app/legacy-shell/legacy-shell.component.scss"
"still-used","34",".modified-badge","modified-badge","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","48",".modified-badge-row","modified-badge-row","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","58",".modified-badge-row.local","modified-badge-row local","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
"still-used","63",".modified-badge-row.remote","modified-badge-row remote","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/shell/history/history-dialog.component.html"
"still-used","68",".modified-badge-dot","modified-badge-dot","frontend-angular/src/app/legacy-shell/legacy-shell.component.html"
"still-used","75",".modified-badge.syncing","modified-badge syncing","frontend-angular/src/app/app.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.spec.ts; frontend-angular/src/app/core/collaboration/collaboration.service.ts"
